1580232835.667,0.56,1.0196,0.7,0.8357,2
1580232835.839,0.55,1.0144,0.67,0.8511,2
1580232836.007,0.53,1.0792,0.68,0.8868,2
1580232836.176,0.58,0.9909,0.69,0.9099,2
1580232836.347,0.56,0.994,0.71,0.8349,2
1580232836.515,0.58,1.0004,0.73,0.8031,2
1580232836.683,0.59,0.9654,0.73,0.8167,2
1580232836.85,0.6,0.9605,0.71,0.835,2
1580232837.043,0.61,0.9587,0.71,0.8402,2
1580232837.227,0.58,0.9863,0.7,0.8393,2
1580232837.396,0.59,0.93,0.72,0.8324,2
1580232837.564,0.6,0.9291,0.7,0.8205,2
1580232837.732,0.6,0.9565,0.71,0.81,2
1580232837.899,0.6,0.9857,0.71,0.8206,2
1580232838.077,0.61,0.9347,0.7,0.8007,2
1580232838.244,0.61,0.9533,0.7,0.8015,2
1580232838.412,0.58,0.9828,0.65,0.8752,2
1580232838.581,0.6,0.9704,0.67,0.8751,2
1580232838.748,0.62,0.9288,0.7,0.7995,2
1580232838.92,0.58,0.9914,0.7,0.7963,2
1580232839.095,0.58,0.9514,0.66,0.9073,2
1580232839.264,0.58,0.9618,0.7,0.8509,2
1580232839.431,0.59,0.9586,0.67,0.7867,2
1580232839.6,0.59,0.9667,0.71,0.7868,2
1580232839.769,0.59,0.9515,0.67,0.8468,2
1580232839.937,0.62,0.9357,0.7,0.8247,2
1580232840.108,0.62,0.927,0.7,0.8026,2
1580232840.281,0.59,0.9266,0.7,0.8047,2
1580232840.449,0.57,0.9422,0.69,0.8069,2
1580232840.616,0.61,0.9305,0.68,0.8346,2
1580232840.823,0.63,0.8929,0.7,0.7848,2
1580232841.036,0.61,0.9262,0.71,0.7996,2
1580232841.243,0.62,0.8987,0.68,0.8588,2
1580232841.448,0.6,0.944,0.7,0.8159,2
1580232841.648,0.62,0.8962,0.69,0.7693,2
1580232841.827,0.59,0.9354,0.71,0.7795,2
1580232841.858,0.66,0.8774,0.68,0.8669,2
1580232842.041,0.57,0.9666,0.69,0.8021,3
